[2025-08-10 15:24:26,523: INFO: main: welcome to our custom logging data science]
[2025-08-15 16:05:39,758: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-08-15 16:05:39,773: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-08-15 16:05:39,775: INFO: common: yaml_file: schema.yaml loaded successfully]
[2025-08-15 16:13:08,826: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-08-15 16:13:08,831: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-08-15 16:13:08,834: INFO: common: yaml_file: schema.yaml loaded successfully]
[2025-08-15 19:33:52,549: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-08-15 19:33:52,562: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-08-15 19:33:52,562: INFO: common: yaml_file: schema.yaml loaded successfully]
[2025-08-18 07:40:22,546: INFO: main: welcome to our custom logging data science]
